station_id,lat,lon
US1TXBRN002,31.7555,-98.8697
US1TXBRN008,31.7546,-99.1623
US1TXBRN009,31.832,-99.1686
US1TXBRN010,31.6861,-98.9524
US1TXBRN011,31.8136,-99.0713
US1TXBRS001,30.2764,-103.5797
US1TXBRS011,29.37,-103.63
US1TXBRS014,30.3818,-103.6563
US1TXBRS016,30.2558,-103.5784
US1TXBRS018,29.4307,-103.4814
US1TXBRS020,29.509,-103.4698
US1TXBRS021,30.3608,-103.677
US1TXBRS023,29.7038,-103.3365
US1TXBRS027,29.322,-103.6063
US1TXBRS031,29.4351,-103.4999
US1TXBRS035,29.4119,-103.6511
US1TXBRS036,29.4794,-103.4345
US1TXBRS037,29.3206,-103.615
US1TXBRS041,30.3466,-103.6792
US1TXBRS043,30.269,-103.5765
US1TXBRS044,30.203,-103.2539
US1TXBRT001,30.8271,-98.2778
US1TXBRT002,30.5505,-98.2409
US1TXBRT003,30.8474,-98.363
US1TXBRT005,30.5873,-98.2788
US1TXBRT006,30.4975,-98.2258
US1TXBRT007,30.4671,-98.1345
US1TXBRT013,30.5995,-98.3976
US1TXBRT014,30.8588,-98.4125
US1TXBRT017,30.768,-98.2998
US1TXBRT022,30.74,-98.21
US1TXBRT023,30.5641,-98.2716
US1TXBRT025,30.4497,-98.1546
US1TXBRT031,30.6601,-98.3059
US1TXBRT033,30.7094,-98.1191
US1TXBRT034,30.6146,-98.3134
US1TXBRT036,30.495,-98.1845
US1TXBRT037,30.7395,-98.3655
US1TXBRT038,30.505,-98.2267
US1TXBRT040,30.7826,-98.3301
US1TXBRT043,30.5618,-98.2881
US1TXBRT045,30.5652,-98.272
US1TXBRT046,30.4589,-98.1176
US1TXBRT047,30.6277,-98.4154
US1TXBRT048,30.8144,-98.2392
US1TXBRT050,30.7664,-98.1919
US1TXBRT051,30.6232,-98.1046
US1TXBRT052,30.9217,-98.1331
US1TXBRT053,30.5852,-98.3572
US1TXBRT054,30.5793,-98.2791
US1TXBRT055,30.5944,-98.2561
US1TXBRT056,30.6149,-98.0877
US1TXBRT057,30.8476,-98.3773
US1TXBRT058,30.7401,-98.323
US1TXBRT060,30.9426,-97.9054
US1TXBRT062,30.4824,-98.1147
US1TXBRT063,30.5634,-98.2986
US1TXBRT064,30.6564,-98.2972
US1TXBRT065,30.5766,-98.381
US1TXBRT069,30.5689,-98.2936
US1TXBRT072,30.5543,-98.255
US1TXBRT073,30.8207,-98.0436
US1TXBRT075,30.71,-98.0101
US1TXBRT077,30.828,-98.347
US1TXBRT079,30.5654,-98.2935
US1TXBRT080,30.85,-98.3773
US1TXBRT081,30.7726,-98.2748
US1TXBRT086,30.5552,-98.2955
US1TXBRT087,30.5697,-98.2195
US1TXBRT090,30.8546,-97.9661
US1TXBRT093,30.8014,-98.2053
US1TXBRT096,30.7042,-98.3533
US1TXBRT098,30.6349,-98.3294
US1TXBRT099,30.5791,-98.3699
US1TXBRT100,30.7724,-98.2125
US1TXBRT101,30.564,-98.3016
US1TXBRT104,30.8344,-98.3458
US1TXBRT106,30.5591,-98.3011
US1TXBRT107,30.7523,-98.3964
US1TXBRT111,30.5632,-98.2835
US1TXBRT118,30.757,-98.2608
US1TXBRT119,30.7092,-98.1302
US1TXBRT120,30.8297,-98.2567
US1TXBRT121,30.8908,-98.2464
US1TXBRT122,30.7689,-98.2757
US1TXBRT123,30.6045,-98.1909
US1TXBRT124,30.7061,-98.2713
US1TXBRT126,30.6952,-98.1419
US1TXBRT128,30.8115,-98.2299
US1TXBRT131,30.6777,-98.3857
US1TXBRT133,30.6749,-98.0866
US1TXBRT134,30.5169,-98.1452
US1TXBRT135,30.4496,-98.205
US1TXBRT136,30.585,-98.3639
US1TXBRT137,30.7977,-98.1409
US1TXBRT138,30.8599,-98.41
US1TXBRT139,30.9348,-98.2966
US1TXBRT141,30.4831,-98.121
US1TXBRT142,30.8673,-98.419
US1TXBRT143,30.4576,-98.2345
US1TXBRT144,30.7862,-97.9907
US1TXBRT145,30.7619,-98.3043
US1TXBRT148,30.7757,-98.2757
US1TXBRT150,30.7823,-98.4036
US1TXBRT151,30.766,-98.2179
US1TXBRT152,30.6681,-98.1053
US1TXBRT153,30.86,-98.3444
US1TXBRT154,30.5177,-98.1365
US1TXBRT155,30.6034,-98.2514
US1TXBRT156,30.5882,-98.2663
US1TXBRT157,30.7522,-98.3979
US1TXBRT159,30.4856,-98.3083
US1TXBRT160,30.6704,-98.4351
US1TXBRT161,30.9822,-97.8898
US1TXBRT165,30.9434,-98.29
US1TXBRZ012,29.1602,-95.7205
US1TXBRZ017,29.3912,-95.2353
US1TXBRZ018,29.4176,-95.2673
US1TXBRZ020,29.0296,-95.451
US1TXBRZ021,29.1696,-95.4068
US1TXBRZ025,29.5478,-95.3485
US1TXBRZ027,29.0269,-95.4337
US1TXBRZ032,29.043,-95.4202
US1TXBRZ036,29.5483,-95.3984
US1TXBRZ037,29.4319,-95.3658
US1TXBRZ041,29.395,-95.2819
US1TXBRZ042,29.0684,-95.4688
US1TXBRZ044,29.5538,-95.2373
US1TXBRZ045,29.5382,-95.3277
US1TXBRZ046,28.9423,-95.298
US1TXBRZ048,29.049,-95.6384
US1TXBRZ049,29.1572,-95.6114
US1TXBRZ050,29.4004,-95.2648
US1TXBRZ051,29.0571,-95.4482
US1TXBRZ054,29.2237,-95.3491
US1TXBRZ055,29.1096,-95.3982
US1TXBRZ056,29.3716,-95.199
US1TXBRZ057,29.3516,-95.3247
US1TXBSQ002,32.1113,-97.5753
US1TXBSQ003,32.1242,-97.5976
US1TXBSQ004,31.8288,-97.8234
US1TXBSQ008,31.7342,-97.563
US1TXBSQ009,32.063,-97.547
US1TXBSQ013,31.7623,-97.6421
US1TXBSQ014,31.7394,-97.5507
US1TXBSQ015,31.8286,-97.8294
US1TXBST001,30.3945,-97.3451
US1TXBST002,30.3019,-97.3258
US1TXBST007,30.1306,-97.3025
US1TXBST017,30.0287,-97.5496
US1TXBST019,30.2154,-97.3284
US1TXBST021,30.0218,-97.441
US1TXBST023,30.0394,-97.1583
US1TXBST024,29.9955,-97.286
US1TXBST027,30.3343,-97.3307
US1TXBST032,29.9395,-97.3702
US1TXBST035,30.0403,-97.3581
US1TXBST036,30.116,-97.3226
US1TXBST041,30.1249,-97.4497
US1TXBST042,30.1709,-97.2373
US1TXBST043,30.0378,-97.5696
US1TXBST044,30.358,-97.3842
US1TXBST046,30.1683,-97.2529
US1TXBST049,30.2199,-97.2575
US1TXBST051,30.0547,-97.2496
US1TXBST053,30.1207,-97.344
US1TXBST058,30.172,-97.4901
US1TXBST061,30.2212,-97.3242
US1TXBST066,30.2116,-97.4813
US1TXBST068,30.0841,-97.3173
US1TXBST069,30.0934,-97.4856
US1TXBST070,30.1287,-97.168
