fips_code,date,flood,hail,heat,high_wind,hurricane,lightning,other,thunderstorm_wind,tornado,wildfire,winter_storm,total_events,max_magnitude,total_damage,total_injuries,total_deaths,any_storm
48001,2022-03-01,0,0,0,0,0,0,1,0,0,0,0,1,,0.0,0,0,0
48001,2022-03-14,0,1,0,0,0,0,0,0,0,0,0,2,1.5,0.0,0,0,1
48001,2022-04-12,0,0,0,0,0,0,0,1,0,0,0,2,61.0,52000.0,0,0,1
48001,2022-04-13,0,1,0,0,0,0,0,0,0,0,0,2,0.75,0.0,0,0,1
48001,2022-04-30,0,1,0,0,0,0,0,0,0,0,0,2,1.25,0.0,0,0,1
48001,2022-05-21,0,0,0,0,0,0,0,1,0,0,0,1,52.0,0.0,0,0,1
48001,2022-06-11,0,0,1,0,0,0,0,0,0,0,0,1,,0.0,0,0,1
48001,2022-06-24,0,0,1,0,0,0,0,0,0,0,0,1,,0.0,0,0,1
48001,2022-07-01,0,0,0,0,0,0,1,0,0,0,0,1,,0.0,0,0,0
48001,2022-07-06,0,0,1,0,0,0,0,0,0,0,0,1,,0.0,0,0,1
48001,2022-07-07,0,0,1,0,0,0,0,0,0,0,0,1,,0.0,0,0,1
48001,2022-07-19,0,0,1,0,0,0,0,0,0,0,0,1,,0.0,0,0,1
48001,2022-08-01,0,0,0,0,0,0,1,0,0,0,0,1,,0.0,0,0,0
48001,2022-08-03,0,0,1,0,0,0,0,0,0,0,0,1,,0.0,0,0,1
48001,2022-09-01,0,0,0,0,0,0,1,0,0,0,0,1,,0.0,0,0,0
48001,2022-10-04,0,0,0,0,0,0,1,0,0,0,0,1,,0.0,0,0,0
48001,2022-10-24,0,0,0,0,0,0,0,1,0,0,0,1,51.0,0.0,0,0,1
48001,2022-11-01,0,0,0,0,0,0,1,0,0,0,0,1,,0.0,0,0,0
48001,2023-02-01,0,0,0,0,0,0,0,0,0,0,1,1,,0.0,0,0,1
48001,2023-03-09,0,0,0,0,0,0,0,1,0,0,0,1,48.0,5000.0,0,0,1
48001,2023-03-16,0,1,0,0,0,0,0,0,0,0,0,1,1.0,0.0,0,0,1
48001,2023-04-02,0,1,0,0,0,0,0,0,0,0,0,2,1.25,0.0,0,0,1
48001,2023-05-04,0,1,0,0,0,0,0,1,0,0,0,2,75.0,500000.0,0,2,1
48001,2023-06-10,0,1,0,0,0,0,0,1,0,0,0,6,74.0,87000.0,0,0,1
48001,2023-06-14,0,0,1,0,0,0,0,0,0,0,0,1,,0.0,0,0,1
48001,2023-06-15,0,0,1,0,0,0,0,0,0,0,0,1,,0.0,0,0,1
48001,2023-06-26,0,0,1,0,0,0,0,0,0,0,0,1,,0.0,0,0,1
48001,2023-07-10,0,0,1,0,0,0,0,0,0,0,0,1,,0.0,0,0,1
48001,2023-07-12,0,0,1,0,0,0,0,0,0,0,0,1,,0.0,0,0,1
48001,2023-08-01,0,0,1,0,0,0,0,0,0,0,0,2,,0.0,0,0,1
48001,2023-08-15,0,0,0,0,0,0,1,0,0,0,0,1,,0.0,0,0,0
48001,2023-08-17,0,0,1,0,0,0,0,0,0,0,0,2,,0.0,0,0,1
48001,2023-09-01,0,0,0,0,0,0,1,0,0,0,0,1,,0.0,0,0,0
48001,2023-09-03,0,1,0,0,0,0,0,0,0,0,0,2,1.25,0.0,0,0,1
48001,2023-09-05,0,0,1,0,0,0,0,0,0,0,0,1,,0.0,0,0,1
48001,2023-09-24,0,1,0,0,0,0,0,1,0,0,0,2,52.0,3000.0,0,0,1
48003,2014-08-24,0,0,0,0,0,0,0,1,0,0,0,1,50.0,0.0,0,0,1
48003,2014-09-12,1,0,0,0,0,0,0,0,0,0,0,4,,3500.0,0,0,1
48003,2014-09-18,1,0,0,0,0,0,0,0,0,0,0,1,,12000.0,0,0,1
48003,2014-09-20,1,0,0,0,0,0,0,0,0,0,0,1,,300.0,0,0,1
48003,2014-09-21,1,0,0,0,0,0,0,0,0,0,0,2,,600.0,0,0,1
48003,2015-01-01,0,0,0,0,0,0,0,0,0,0,1,1,,0.0,0,0,1
48003,2015-04-16,0,1,0,0,0,0,0,0,0,0,0,1,1.0,0.0,0,0,1
48003,2015-05-08,0,1,0,0,0,0,0,0,0,0,0,1,1.0,0.0,0,0,1
48003,2015-05-27,0,1,0,0,0,0,0,0,0,0,0,1,1.0,0.0,0,0,1
48003,2015-10-22,1,0,0,0,0,0,0,0,0,0,0,2,,2500.0,0,0,1
48003,2015-11-27,0,0,0,0,0,0,0,0,0,0,1,1,,0.0,0,0,1
48003,2015-12-26,0,0,0,0,0,0,0,0,0,0,1,1,,0.0,0,0,1
48003,2016-07-05,0,0,0,0,0,0,0,1,0,0,0,1,78.0,100000.0,0,0,1
48003,2016-07-14,0,0,0,0,0,0,0,1,0,0,0,1,50.0,0.0,0,0,1
48003,2016-08-29,1,0,0,0,0,0,0,0,0,0,0,2,,2000.0,0,0,1
48003,2016-09-07,0,0,0,0,0,0,0,1,0,0,0,1,54.0,0.0,0,0,1
48003,2016-11-02,0,1,0,0,0,0,0,0,0,0,0,2,1.75,0.0,0,0,1
48003,2017-04-12,0,1,0,0,0,0,0,0,0,0,0,1,1.0,0.0,0,0,1
48003,2017-04-16,0,1,0,0,0,0,0,0,0,0,0,1,1.0,0.0,0,0,1
48003,2017-06-23,0,0,0,0,0,0,0,1,0,0,0,1,54.0,0.0,0,0,1
48003,2017-09-25,0,1,0,0,0,0,0,1,0,0,0,2,61.0,6000.0,0,0,1
48003,2018-03-27,0,1,0,0,0,0,1,0,0,0,0,4,1.5,0.0,0,0,1
48003,2018-12-26,0,1,0,0,0,0,0,0,0,0,0,1,1.0,0.0,0,0,1
48003,2019-03-12,0,0,0,0,0,0,0,0,1,0,0,1,,400000.0,0,0,1
48003,2019-03-13,0,0,0,1,0,0,0,0,0,0,0,1,57.0,0.0,0,0,1
48003,2019-04-23,0,1,0,0,0,0,0,0,0,0,0,1,1.0,0.0,0,0,1
48003,2019-05-05,0,1,0,0,0,0,0,0,0,0,0,3,1.75,0.0,0,0,1
48003,2019-05-07,0,1,0,0,0,0,0,0,0,0,0,2,2.0,0.0,0,0,1
48003,2019-06-05,0,1,0,0,0,0,0,0,0,0,0,1,2.0,0.0,0,0,1
48003,2019-06-17,0,1,0,0,0,0,0,0,0,0,0,1,2.5,3000.0,0,0,1
48003,2019-08-26,0,0,1,0,0,0,0,0,0,0,0,1,,0.0,0,0,1
48003,2019-09-21,1,0,0,0,0,0,0,0,0,0,0,1,,50000.0,0,0,1
48003,2020-04-10,0,1,0,0,0,0,0,0,0,0,0,1,1.75,0.0,0,0,1
48003,2020-05-23,0,1,0,0,0,0,0,0,0,0,0,1,1.75,0.0,0,0,1
48003,2021-05-28,0,1,0,0,0,0,0,1,0,0,0,2,50.0,0.0,0,0,1
48003,2021-06-01,0,1,0,0,0,0,0,0,0,0,0,2,1.75,0.0,0,0,1
48003,2021-09-30,0,1,0,0,0,0,0,1,0,0,0,2,54.0,0.0,0,0,1
48003,2022-02-16,0,0,0,0,0,0,0,1,0,0,0,1,58.0,0.0,0,0,1
48003,2022-05-01,0,1,0,0,0,0,0,0,0,0,0,5,2.5,0.0,0,0,1
48003,2022-05-24,0,1,0,1,0,0,0,0,0,0,0,5,52.0,10000.0,0,0,1
48003,2022-06-01,0,1,0,0,0,0,0,0,0,0,0,2,2.0,0.0,0,0,1
48003,2023-02-14,0,0,0,1,0,0,0,0,0,0,0,1,50.0,0.0,0,0,1
48003,2023-02-26,0,0,0,1,0,0,0,0,0,0,0,1,56.0,0.0,0,0,1
48003,2023-03-02,0,0,0,1,0,0,0,0,0,0,0,1,51.0,0.0,0,0,1
48003,2023-05-19,1,0,0,0,0,0,0,0,0,0,0,1,,0.0,0,0,1
48003,2023-06-02,1,1,0,0,0,0,0,1,0,0,0,6,50.0,50000.0,0,0,1
48003,2023-06-07,1,1,0,0,0,0,0,1,0,0,0,3,58.0,0.0,0,0,1
48005,2014-01-05,0,0,0,0,0,0,0,0,0,0,1,1,,0.0,0,0,1
48005,2014-01-23,0,0,0,0,0,0,0,0,0,0,1,1,,0.0,0,0,1
48005,2014-01-28,0,0,0,0,0,0,0,0,0,0,1,1,,0.0,0,0,1
